id,latitude,longitude
2269,59.27427427,18.10959053
2270,59.27312531,18.1096655
2271,59.27352693,18.10981209
2272,59.27584262,18.11158904
2273,59.27409772,18.111626
2274,59.27411618,18.11163414
2275,59.2713203,18.11164963
2276,59.2762023,18.11208246
2277,59.270857,18.1120879
2278,59.27308104,18.11211776
2279,59.2722617,18.11212982
2280,59.27349225,18.11377903
2281,59.27372396,18.11418293
2282,59.27285048,18.11528398
2283,59.27507454,18.11587477
2284,59.27395159,18.11591339
2285,59.27474907,18.11704516
2286,59.27124805,18.11815648
2287,59.2661253,18.0875737
2288,59.26612321,18.09810013
2289,59.26622328,18.09224879
2290,59.26635361,18.09668778
2291,59.26715817,18.09591802
2292,59.26815478,18.09546675
2293,59.26842015,18.09665096
2294,59.26845849,18.09682299
2295,59.26876794,18.08756958
2296,59.26901808,18.09495579
2297,59.26942552,18.0888259
2298,59.26946789,18.08803541
2299,59.26971632,18.09183084
2300,59.26986885,18.09592657
2301,59.26989972,18.09447382
2302,59.27075876,18.09548732
2303,59.27091562,18.09010154
2304,59.27095505,18.09129032
2305,59.27105594,18.09394286
2306,59.27140471,18.09097258
2307,59.2715094,18.09509019
2308,59.27226196,18.09346199
2309,59.27255815,18.09270316
2310,59.2727592,18.08885915
2311,59.27281998,18.09474898
2312,59.27282609,18.09481523
2313,59.27338369,18.09439101
2314,59.27347811,18.09478955
2315,59.27569474,18.09543633
2316,59.27610449,18.09404313
2317,59.26425891,18.08684063
2318,59.26400216,18.08703881
2319,59.26381365,18.0873615
2320,59.26297766,18.08760593
2321,59.26397905,18.08821919
2322,59.26357925,18.0882304
2323,59.26392539,18.08830284
2324,59.26398851,18.08865926
2325,59.26297744,18.08908075
2326,59.26390393,18.08922077
2327,59.26454727,18.08927495
2328,59.26440341,18.09012316
2329,59.26342298,18.09270932
2330,59.26361589,18.09294845
2331,59.26532344,18.09393478
2332,59.26178355,18.09501401
2333,59.26347865,18.09506215
2334,59.26372173,18.09647849
2335,59.26531913,18.09727581
2336,59.26204458,18.09769166
2337,59.26417768,18.09775633
2338,59.26333467,18.09802057
2339,59.26563931,18.09861594
2340,59.26162177,18.11798184
2341,59.26432204,18.1180967
2342,59.26165405,18.11816283
2343,59.26479827,18.11843712
2344,59.26449106,18.11844079
2345,59.26092333,18.11641458
2346,59.26100426,18.10408427
2347,59.26134483,18.11548733
2348,59.26153942,18.10480609
2349,59.26162148,18.11405327
2350,59.26231115,18.11719355
2351,59.26239785,18.11356854
2352,59.26266593,18.11474962
2353,59.26288578,18.11070779
2354,59.2629021,18.11576505
2355,59.26294172,18.11395741
2356,59.26340513,18.11379326
2357,59.2636362,18.1149615
2358,59.26410273,18.11612392
2359,59.26410291,18.11757333
2360,59.26436,18.11550863
2361,59.26112303,18.08846004
2362,59.25980847,18.0885277
2363,59.25795803,18.09135932
2364,59.25791587,18.09150513
2365,59.2577488,18.09172689
2366,59.2574769,18.09195137
2367,59.25715787,18.09210586
2368,59.25747572,18.09323634
2369,59.26004282,18.09424176
2370,59.259277,18.09489645
2371,59.26057725,18.09505479
2372,59.26053001,18.09505779
2373,59.25843551,18.09519955
2374,59.26021775,18.09534417
2375,59.26004702,18.09617349
2376,59.25749571,18.09908696
2377,59.25671322,18.11071895
2378,59.25671907,18.11110891
2379,59.25673496,18.10375019
2380,59.25685087,18.10567352
2381,59.25696376,18.11013909
2382,59.25697322,18.10721779
2383,59.25702641,18.1043772
2384,59.25717262,18.10688755
2385,59.25733559,18.10406162
2386,59.2574233,18.10112214
2387,59.25765281,18.10918699
2388,59.25822442,18.10345366
2389,59.25845329,18.10961487
2390,59.25868628,18.10605819
2391,59.25879713,18.10902288
2392,59.25888526,18.1025098
2393,59.25922856,18.10610002
2394,59.25946902,18.10873667
2395,59.25952102,18.10227915
2396,59.25981837,18.10254126
2397,59.25992004,18.10850918
2398,59.2600006,18.1024004
2399,59.26000673,18.10946985
2400,59.26084046,18.10778986
2401,59.25896319,18.11205438
2402,59.25870096,18.11311247
2403,59.26088625,18.1134602
2404,59.25896254,18.11348363
2405,59.25896796,18.11365722
2406,59.25899794,18.11403044
2407,59.25874277,18.11403616
2408,59.2607517,18.11413402
2409,59.25964735,18.1141434
2410,59.26075727,18.11421599
2411,59.25754703,18.11573595
2412,59.2609205,18.11579228
2413,59.25605114,18.1172045
2414,59.25742856,18.11732914
2415,59.25985366,18.11736996
2416,59.26090628,18.11764329
2417,59.25886514,18.11803194
2418,59.25523421,18.0956977
2419,59.25550461,18.08866113
2420,59.25568641,18.09465136
2421,59.25575911,18.09706758
2422,59.25589718,18.08773359
2423,59.25625036,18.09364685
2424,59.25640014,18.09982841
2425,59.25644477,18.09550611
2426,59.25646525,18.09278892
2427,59.25527536,18.1042596
2428,59.25551021,18.10534563
2429,59.25561422,18.1037398
2430,59.2561296,18.10552726
2431,59.25618173,18.10609484
2432,59.25618794,18.10285322
2433,59.25640038,18.1066129
2434,59.25521404,18.11065516
2435,59.25529801,18.10892802
2436,59.25572308,18.10917139
2437,59.25580211,18.11083206
2438,59.25581621,18.11388632
2439,59.25582537,18.11348465
2440,59.25608608,18.11041103
2441,59.25633179,18.1099706
2442,59.25657271,18.11094727
2443,59.25663514,18.10765065
2444,59.30254354,18.11019983
2445,59.30283639,18.11031074
2446,59.30258353,18.11097266
2447,59.30149965,18.11123803
2448,59.30155535,18.11147351
2449,59.30476867,18.11219031
2450,59.30491681,18.11313499
2451,59.30418956,18.11363982
2452,59.30429477,18.11374564
2453,59.2990235,18.11385269
2454,59.30808827,18.10665735
2455,59.30670467,18.1068023
2456,59.30557448,18.10680895
2457,59.3070725,18.10681697
2458,59.30818312,18.10687112
2459,59.30683178,18.10694666
2460,59.30694359,18.10695575
2461,59.30697233,18.10695672
2462,59.30587993,18.10702587
2463,59.30700523,18.10716873
2464,59.30684497,18.10717819
2465,59.30675627,18.10719334
2466,59.30668539,18.10726195
2467,59.30720723,18.1072877
2468,59.30656029,18.10728918
2469,59.30758707,18.10777797
2470,59.30727638,18.10783388
2471,59.30615657,18.10790065
2472,59.30649558,18.10790675
2473,59.30736331,18.10830126
2474,59.30610728,18.10849817
2475,59.30545401,18.10920912
2476,59.30546205,18.10921934
2477,59.30604242,18.10928649
2478,59.30637111,18.10933275
2479,59.30731842,18.10977276
2480,59.30600089,18.10980367
2481,59.30750549,18.11026559
2482,59.30587387,18.11118946
2483,59.30620771,18.11123073
2484,59.30519066,18.11126257
2485,59.30696258,18.11145419
2486,59.3025405,18.10645765
2487,59.30224496,18.10651136
2488,59.30471946,18.10657022
2489,59.30225781,18.10672351
2490,59.30492474,18.10688781
2491,59.30496574,18.10689744
2492,59.30381075,18.10690859
2493,59.30400777,18.10692457
2494,59.30497352,18.10696037
2495,59.30501191,18.10696287
2496,59.30224766,18.10730021
2497,59.30288432,18.10734687
2498,59.30331992,18.10797193
2499,59.30451358,18.10797882
2500,59.30344348,18.10814391
2501,59.30451578,18.10817964
2502,59.30436808,18.10830685
2503,59.30352113,18.10841963
